package_name,used_version,serverity,downloadCount
moment.js:moment,2.29.3,high,55665
underscore.js:underscore,1.6.0,high,55655
axios:No_npm_name,0.18.0,high,55291
axios:No_npm_name,0.18.0,high,55291
moment.js:moment,2.21.0,high,53884
moment.js:moment,2.21.0,high,53884
moment.js:moment,2.29.3,high,53432
jszip:No_npm_name,3.6.0,high,51809
moment.js:moment,2.29.3,high,51231
underscore.js:underscore,1.8.3,high,50145
moment.js:moment,2.18.1,high,49947
moment.js:moment,2.18.1,high,49947
moment.js:moment,2.18.1,high,49947
chart.js:No_npm_name,2.9.3,high,49707
axios:No_npm_name,0.18.0,high,49688
axios:No_npm_name,0.18.0,high,49688
underscore.js:underscore,1.4.4,high,49338
underscore.js:underscore,1.8.3,high,49215
handlebars:No_npm_name,2.0.0,high,48559
handlebars:No_npm_name,2.0.0,high,48559
handlebars:No_npm_name,2.0.0,high,48559
handlebars:No_npm_name,2.0.0,high,48559
handlebars:No_npm_name,4.1.2,high,48298
handlebars:No_npm_name,4.1.2,high,48298
handlebars:No_npm_name,4.1.2,high,48298
handlebars:No_npm_name,4.1.2,high,48298
handlebars:No_npm_name,4.1.2,high,48298
underscore.js:underscore,1.8.3,high,47026
axios:No_npm_name,0.16.2,high,46665
axios:No_npm_name,0.16.2,high,46665
underscore.js:underscore,1.9.1,high,46311
axios:No_npm_name,0.15.3,high,45569
axios:No_npm_name,0.15.3,high,45569
underscore.js:underscore,1.7.0,high,45560
handlebars:No_npm_name,4.0.11,high,43921
handlebars:No_npm_name,4.0.11,high,43921
handlebars:No_npm_name,4.0.11,high,43921
handlebars:No_npm_name,4.0.11,high,43921
handlebars:No_npm_name,4.0.11,high,43921
underscore.js:underscore,1.9.0,high,43760
moment.js:moment,2.22.2,high,41153
moment.js:moment,2.22.2,high,41153
underscore.js:underscore,1.8.3,high,41022
axios:No_npm_name,0.21.2,high,40638
handlebars:No_npm_name,4.0.11,high,39873
handlebars:No_npm_name,4.0.11,high,39873
handlebars:No_npm_name,4.0.11,high,39873
handlebars:No_npm_name,4.0.11,high,39873
handlebars:No_npm_name,4.0.11,high,39873
moment.js:moment,2.24.0,high,39816
moment.js:moment,2.24.0,high,39816
underscore.js:underscore,1.9.1,high,38421
underscore.js:underscore,1.6.0,high,37802
underscore.js:underscore,1.9.1,high,36904
underscore.js:underscore,1.8.3,high,36790
moment.js:moment,2.17.1,high,35922
moment.js:moment,2.17.1,high,35922
axios:No_npm_name,0.18.0,high,35142
axios:No_npm_name,0.18.0,high,35142
underscore.js:underscore,1.4.4,high,35005
moment.js:moment,2.18.1,high,34881
underscore.js:underscore,1.8.3,high,33834
underscore.js:underscore,1.9.1,high,33749
jszip:No_npm_name,3.2.1,high,33333
underscore.js:underscore,1.8.3,high,32724
axios:No_npm_name,0.21.1,high,32468
axios:No_npm_name,0.19.2,high,32451
moment.js:moment,2.29.3,high,32385
underscore.js:underscore,1.9.1,high,30817
moment.js:moment,2.14.1,high,30744
moment.js:moment,2.14.1,high,30744
